step,best_cost,temperature
0,10.290382579034464,9999.499991667351
1,9.476910728414417,40.67155881748393
2,9.476910728414417,28.44196900711664
3,9.476910728414417,19.18193867673192
4,9.476910728414417,12.278913404736207
5,9.476910728414417,7.761158875950102
6,9.476910728414417,6.785458613167398
7,9.476910728414417,7.823860118314506
8,9.476910728414417,7.459122337237615
9,8.923027758179751,6.580494500592234
10,8.923027758179751,6.55222898226803
11,8.923027758179751,5.14810219285503
12,8.923027758179751,3.778858340737758
13,8.18676882182923,3.7997238470905916
14,8.18676882182923,3.930490194760797
15,8.18676882182923,3.4567633977229617
16,8.18676882182923,2.8407568223849955
17,8.18676882182923,2.598385715585233
18,8.18676882182923,2.4509783509162473
19,8.18676882182923,2.2940358197580193
20,8.18676882182923,2.040240466610356
21,8.18676882182923,1.845002144446685
22,8.18676882182923,1.7255806614849285
23,8.18676882182923,1.5933319895362854
24,8.18676882182923,1.3521694785181901
25,8.18676882182923,1.1729638762541041
26,8.18676882182923,1.1095313413833192
27,8.18676882182923,1.0301976496146406
28,8.18676882182923,0.8966266405666934
29,8.18676882182923,0.9153534906032232
30,8.18676882182923,0.9103493004826723
31,7.977806066696842,0.9144364008626473
32,7.977806066696842,0.9432004408586991
33,7.977806066696842,1.0129780324062696
34,7.977806066696842,1.0692950799983327
35,7.977806066696842,1.0555175974761648
36,7.977806066696842,0.990311877168757
37,7.977806066696842,1.0319360293221105
38,7.977806066696842,1.004922961020558
39,7.977806066696842,0.9886604641632186
40,7.977806066696842,0.9850522679905425
41,7.977806066696842,0.9284400686807411
42,7.977806066696842,0.9503520529907751
43,7.977806066696842,0.9435771820703632
44,7.977806066696842,0.9263177749819742
45,7.977806066696842,0.981224373118034
46,7.977806066696842,0.9603705120786805
47,7.977806066696842,0.9109764557933838
48,7.977806066696842,0.8712907180191224
49,7.977806066696842,0.8395949179635798
50,7.977806066696842,0.8167016055871451
51,7.977806066696842,0.8068710055971626
52,7.977806066696842,0.7813204065058624
53,7.977806066696842,0.7474272435021971
54,7.977806066696842,0.7348502089282251
55,7.977806066696842,0.7363077013967755
56,7.977806066696842,0.7239174525168564
57,7.977806066696842,0.714255218764219
58,7.977806066696842,0.6852755483837912
59,7.977806066696842,0.6948742627424076
60,7.977806066696842,0.6816231271547443
61,7.977806066696842,0.6412723112274832
62,7.977806066696842,0.6049876156431053
63,7.977806066696842,0.5853794166000399
64,7.977806066696842,0.5616849674804497
65,7.977806066696842,0.5613175305378881
66,7.977806066696842,0.5411749833956901
67,7.977806066696842,0.5104699155117212
68,7.977806066696842,0.5284088396340824
69,7.977806066696842,0.565636550549752
70,7.977806066696842,0.5692159209388293
71,7.977806066696842,0.566668699988315
72,7.977806066696842,0.5520645217860334
73,7.977806066696842,0.5563693296455933
74,7.977806066696842,0.5647747837279874
75,7.977806066696842,0.5668342438425835
76,7.977806066696842,0.5617741281451024
77,7.977806066696842,0.568309867547365
78,7.977806066696842,0.5658010279912676
79,7.977806066696842,0.5700650770647547
80,7.977806066696842,0.5524040811994828
81,7.977806066696842,0.5470434360429796
82,7.977806066696842,0.5428781941205949
83,7.977806066696842,0.5299359463227008
84,7.977806066696842,0.5260572015334767
85,7.977806066696842,0.510080897129706
86,7.977806066696842,0.5017596363732634
87,7.977806066696842,0.5017550050831109
88,7.977806066696842,0.49374099831318746
89,7.977806066696842,0.49186980956683773
90,7.804887628931096,0.49344460511088784
91,7.804887628931096,0.4925307258492364
92,7.804887628931096,0.5010760875119672
93,7.804887628931096,0.4974678223879566
94,7.804887628931096,0.5384942019687059
95,7.804887628931096,0.5165436721173108
96,7.804887628931096,0.5093591885186535
97,7.804887628931096,0.5152065331428866
98,7.804887628931096,0.5256017063539526
99,7.804887628931096,0.5063371075823538
100,7.804887628931096,0.5019449838391312
101,7.804887628931096,0.4939493242266309
102,7.804887628931096,48.13823057066232
103,7.804887628931096,47.67083634603503
104,7.804887628931096,46.643687746099104
105,7.804887628931096,45.63059797023598
106,7.804887628931096,44.592861827340215
107,7.804887628931096,43.20108944026993
108,7.804887628931096,42.192712327860896
109,7.804887628931096,41.47839195607698
110,7.804887628931096,40.95228786770085
111,7.804887628931096,40.13611167678884
112,7.804887628931096,38.77615424336849
113,7.804887628931096,38.084141657760796
114,7.804887628931096,36.81111136155023
115,7.804887628931096,35.72856309783367
116,7.804887628931096,35.13137069620543
117,7.804887628931096,34.66221920910222
118,7.804887628931096,33.86682043129313
119,7.804887628931096,32.82029071608111
120,7.804887628931096,32.34568109331354
121,7.804887628931096,31.29338909528122
122,7.804887628931096,30.55416773678271
123,7.804887628931096,29.65128462289791
124,7.804887628931096,29.02020309758617
125,7.804887628931096,28.4710821759518
126,7.804887628931096,27.956260900353968
127,7.804887628931096,27.584974058461118
128,7.804887628931096,27.068501080282342
129,7.804887628931096,26.594211352613733
130,7.804887628931096,26.196488539948096
131,7.804887628931096,25.71019120866102
132,7.804887628931096,25.407692850226475
133,7.804887628931096,24.880843522042735
134,7.804887628931096,24.5632012491133
135,7.804887628931096,24.340117843286006
136,7.804887628931096,23.64209324269785
137,7.804887628931096,23.267341629848584
138,7.804887628931096,23.171525110895143
139,7.804887628931096,22.83716635137489
140,7.804887628931096,22.364582352596198
141,7.804887628931096,22.123267513400517
142,7.804887628931096,21.789531042428933
143,7.804887628931096,21.472188673306345
144,7.804887628931096,21.160683038173538
145,7.804887628931096,20.784306908578554
146,7.804887628931096,20.29284521515916
147,7.804887628931096,19.99389647966924
148,7.804887628931096,19.601973819169487
149,7.804887628931096,19.23316238196533
150,7.804887628931096,18.783569955883173
151,7.804887628931096,18.425886774014796
152,7.804887628931096,18.2440767202378
153,7.804887628931096,18.05377353127281
154,7.804887628931096,17.79778781825474
155,7.804887628931096,17.632361900958795
156,7.804887628931096,17.42430571121715
157,7.804887628931096,17.190917764893076
158,7.804887628931096,16.86886003238243
159,7.804887628931096,16.669257053910265
160,7.804887628931096,16.499157345255426
161,7.804887628931096,16.299201840977613
162,7.804887628931096,16.203863096792517
163,7.804887628931096,15.869189771611525
164,7.804887628931096,15.666502811743593
165,7.804887628931096,15.503995306168674
166,7.804887628931096,15.523215674035205
167,7.804887628931096,15.304187197807295
168,7.804887628931096,14.98958522788586
169,7.804887628931096,14.689426265701062
170,7.804887628931096,14.584828585105349
171,7.804887628931096,14.258785690124332
172,7.804887628931096,14.075735272446769
173,7.804887628931096,13.762846720174798
174,7.804887628931096,13.611681265920403
175,7.804887628931096,13.387607303790631
176,7.804887628931096,13.274075933732773
177,7.804887628931096,13.163299299937533
178,7.804887628931096,13.024182143451677
179,7.804887628931096,12.893962798987472
180,7.804887628931096,12.80015772204447
181,7.804887628931096,12.540124220898
182,7.804887628931096,12.290798704635243
183,7.804887628931096,12.203046925676002
184,7.804887628931096,12.058905821284695
185,7.804887628931096,11.806614799415877
186,7.804887628931096,11.693658566451042
187,7.804887628931096,11.560770867914577
188,7.804887628931096,11.39663433552163
189,7.804887628931096,11.273673881784648
190,7.804887628931096,11.24836195507884
191,7.804887628931096,11.01611494114362
192,7.804887628931096,10.819438470135127
193,7.804887628931096,10.714275119951722
194,7.804887628931096,10.571548478268408
195,7.804887628931096,10.450500416148257
196,7.804887628931096,10.338240085337583
197,7.804887628931096,10.228287403418717
198,7.804887628931096,10.041565863565543
199,7.804887628931096,9.954288878854385
200,7.804887628931096,9.930706245449024
201,7.804887628931096,9.896550962071517
202,7.804887628931096,9.838499917112276
203,7.804887628931096,9.734822415624668
204,7.804887628931096,9.687753829600629
205,7.804887628931096,9.644333252780491
206,7.804887628931096,9.603756938453673
207,7.804887628931096,9.424647893964671
208,7.804887628931096,9.399187331298421
209,7.804887628931096,9.348856283436776
210,7.804887628931096,9.297938797473025
211,7.804887628931096,9.167316359373572
212,7.804887628931096,9.090369487723272
213,7.804887628931096,9.005762446730506
214,7.804887628931096,8.909858834425776
215,7.804887628931096,8.844235515836981
216,7.804887628931096,8.799309461614817
217,7.804887628931096,8.655145585690631
218,7.804887628931096,8.534433241636549
219,7.804887628931096,8.518363618690039
220,7.804887628931096,8.46346209859324
221,7.804887628931096,8.354398455600622
222,7.804887628931096,8.316329698835117
223,7.804887628931096,8.208835707189996
224,7.804887628931096,8.127413872768953
225,7.804887628931096,8.014499882279258
226,7.804887628931096,7.955631008418215
227,7.804887628931096,7.910565267450564
228,7.804887628931096,7.785717209757105
229,7.804887628931096,7.705993712955366
230,7.804887628931096,7.665473376192129
231,7.804887628931096,7.627190829000201
232,7.804887628931096,7.563743985401468
233,7.804887628931096,7.445132872469943
234,7.804887628931096,7.38487265559629
235,7.804887628931096,7.319836008818294
236,7.804887628931096,7.297996114841961
237,7.804887628931096,7.238744626178582
238,7.804887628931096,7.186363999795709
239,7.804887628931096,7.171037881946259
240,7.804887628931096,7.112884668935255
241,7.804887628931096,7.056081015242614
242,7.804887628931096,6.973073349762018
243,7.804887628931096,6.930112583617995
244,7.804887628931096,6.8773625057478505
245,7.804887628931096,6.822209213334835
246,7.804887628931096,6.731828831499489
247,7.804887628931096,6.680399334199899
248,7.804887628931096,6.691092863212647
249,7.804887628931096,6.645800115244466
250,7.804887628931096,6.60621795437526
251,7.804887628931096,6.559528777167025
252,7.804887628931096,6.509841539359043
253,7.804887628931096,6.48282696110222
254,7.804887628931096,6.417773809979404
255,7.804887628931096,6.403136115044843
256,7.804887628931096,6.343793148499727
257,7.804887628931096,6.291940780791886
258,7.804887628931096,6.250269316984224
259,7.804887628931096,6.205223928674486
260,7.804887628931096,6.135120595866651
261,7.804887628931096,6.061666803577677
262,7.804887628931096,5.993700306809052
263,7.804887628931096,5.9193043112697765
264,7.804887628931096,5.885679534885617
265,7.804887628931096,5.871144897593776
266,7.804887628931096,5.841829400829077
267,7.804887628931096,5.864175054462591
268,7.804887628931096,5.844511580692694
269,7.804887628931096,5.818245360960178
270,7.804887628931096,5.772046711613009
271,7.804887628931096,5.699303931015502
272,7.804887628931096,5.635011224651636
273,7.804887628931096,5.5910615350504385
274,7.804887628931096,5.510721781731243
275,7.804887628931096,5.488128412456605
276,7.804887628931096,5.409519310413616
277,7.804887628931096,5.402045544755314
278,7.804887628931096,5.392304280016786
279,7.804887628931096,5.333896439744108
280,7.804887628931096,5.336513315888987
281,7.804887628931096,5.301461849316612
282,7.804887628931096,5.265321527241492
283,7.804887628931096,5.2258377243922345
284,7.804887628931096,5.214710199493656
285,7.804887628931096,5.175883062850752
286,7.804887628931096,5.128255738720523
287,7.804887628931096,5.109721096956993
288,7.804887628931096,5.083836078947404
289,7.804887628931096,5.046683473359221
290,7.804887628931096,5.017533392072139
291,7.804887628931096,4.964997530509213
292,7.804887628931096,4.931660085491209
293,7.804887628931096,4.913846616475749
294,7.804887628931096,4.89148914914099
295,7.804887628931096,4.851929969498056
296,7.804887628931096,4.834770090910008
297,7.804887628931096,4.796446613005156
298,7.804887628931096,4.770004247009463
299,7.804887628931096,4.737366752329565
300,7.804887628931096,4.716643056816682
301,7.804887628931096,4.720147564333234
302,7.804887628931096,4.692282397583181
303,7.804887628931096,4.66269790732507
304,7.804887628931096,4.6127908494952825
305,7.804887628931096,4.583400021793273
306,7.804887628931096,4.552204885114221
307,7.804887628931096,4.5010130548953065
308,7.804887628931096,4.466840530655557
309,7.804887628931096,4.430225169313065
310,7.804887628931096,4.380981742553952
311,7.804887628931096,4.365396491991976
312,7.804887628931096,4.322957970190567
313,7.804887628931096,4.2690420149341195
314,7.804887628931096,4.227757508693683
315,7.804887628931096,4.208424384841632
316,7.804887628931096,4.191563182136198
317,7.804887628931096,4.161237078454113
318,7.804887628931096,4.156959993874468
319,7.804887628931096,4.131689894817882
320,7.804887628931096,4.113710902757385
321,7.804887628931096,4.097880624828239
322,7.804887628931096,4.089905037797928
323,7.804887628931096,4.071033855195169
324,7.804887628931096,4.062220735368121
325,7.804887628931096,4.047896641432939
326,7.804887628931096,4.02288224431634
327,7.804887628931096,4.016130569729317
328,7.804887628931096,3.9933841567046966
329,7.804887628931096,3.9830619538068652
330,7.804887628931096,3.9578988357532885
331,7.804887628931096,3.9447232583174796
332,7.804887628931096,3.9410787709616253
333,7.804887628931096,3.901668746326287
334,7.804887628931096,3.8896864876543473
335,7.804887628931096,3.8740068463937916
336,7.804887628931096,3.854160864514746
337,7.804887628931096,3.8212242053343006
338,7.804887628931096,3.787188896297692
339,7.804887628931096,3.7756556325583928
340,7.804887628931096,3.762133042117432
341,7.804887628931096,3.7188973575678066
342,7.804887628931096,3.6991661117592565
343,7.804887628931096,3.692374708725195
344,7.804887628931096,3.6579885106736847
345,7.804887628931096,3.648170665793413
346,7.804887628931096,3.6441996957331693
347,7.804887628931096,3.60888515796867
348,7.804887628931096,3.5914142997847254
349,7.804887628931096,3.5751778805793326
350,7.804887628931096,3.5575147085644416
351,7.804887628931096,3.5396001036731946
352,7.804887628931096,3.530216371158572
353,7.804887628931096,3.5049667508642743
354,7.804887628931096,3.4892248608555496
355,7.804887628931096,3.4592305866869664
356,7.804887628931096,3.4280339180112596
357,7.804887628931096,3.4108666888872445
358,7.804887628931096,3.392845971042691
359,7.804887628931096,3.3812832906745767
360,7.804887628931096,3.372244751390711
361,7.804887628931096,3.34065823796869
362,7.804887628931096,3.3436839328765915
363,7.804887628931096,3.308759616109645
364,7.804887628931096,3.2847910094525425
365,7.804887628931096,3.2490819068190544
366,7.804887628931096,3.2341767891911046
367,7.804887628931096,3.2040747161448646
368,7.804887628931096,3.200679914546197
369,7.804887628931096,3.1828666652054496
370,7.804887628931096,3.1669403951358266
371,7.804887628931096,3.140832321867374
372,7.804887628931096,3.1164862242870868
373,7.804887628931096,3.0854033585455665
374,7.804887628931096,3.0708714797804735
375,7.804887628931096,3.0466517063970078
376,7.804887628931096,3.0346338407888456
377,7.804887628931096,3.026376714149614
378,7.804887628931096,3.010390952545325
379,7.804887628931096,2.9961723485512306
380,7.804887628931096,2.9796851990952087
381,7.804887628931096,2.949778480015157
382,7.804887628931096,2.940900614994341
383,7.804887628931096,2.927867566966305
384,7.804887628931096,2.9091106557217965
385,7.804887628931096,2.8992089546458364
386,7.804887628931096,2.8819526760295426
387,7.804887628931096,2.8673861623248196
388,7.804887628931096,2.857516378291951
389,7.804887628931096,2.843427736894679
390,7.804887628931096,2.830297512551246
391,7.804887628931096,2.80424950583334
392,7.804887628931096,2.7937122573276234
393,7.804887628931096,2.7791246468020137
394,7.804887628931096,2.7758754762890154
395,7.804887628931096,2.7518094689623616
396,7.804887628931096,2.7409425263296767
397,7.804887628931096,2.724607744865305
398,7.804887628931096,2.704034660732418
399,7.804887628931096,2.6966988886268846
400,7.804887628931096,2.6727155929487383
401,7.804887628931096,2.6704193400108323
402,7.804887628931096,2.6633793181739707
403,7.804887628931096,2.6424146375536344
404,7.804887628931096,2.633533749124812
405,7.804887628931096,2.607767041149477
406,7.804887628931096,2.5896913046801
407,7.804887628931096,2.5815717862597265
408,7.804887628931096,2.5807495315388786
409,7.804887628931096,2.5761333622291445
410,7.804887628931096,2.5639378915706934
411,7.804887628931096,2.551141758351076
412,7.804887628931096,2.5329012221552416
413,7.804887628931096,2.509869969483139
414,7.804887628931096,2.491054551549176
415,7.804887628931096,2.479293821860002
416,7.804887628931096,2.4703772744910357
417,7.804887628931096,2.4636647277687347
418,7.804887628931096,2.4513220153922473
419,7.804887628931096,2.4392140062507495
420,7.804887628931096,2.4364729649104757
421,7.804887628931096,2.4251496924842084
422,7.804887628931096,2.403845309602432
423,7.804887628931096,2.393181508977592
424,7.804887628931096,2.383189550296599
425,7.804887628931096,2.3738563637944554
426,7.804887628931096,2.365118275290996
427,7.804887628931096,2.3464295651706215
428,7.804887628931096,2.326736548085125
429,7.804887628931096,2.308279356235621
430,7.804887628931096,2.293224335560052
431,7.804887628931096,2.284929876029914
432,7.804887628931096,2.280372366168971
433,7.804887628931096,2.270852241195799
434,7.804887628931096,2.265911279791307
435,7.804887628931096,2.2605215684735316
436,7.804887628931096,2.250371462190724
437,7.804887628931096,2.241314739827136
438,7.804887628931096,2.234947690125167
439,7.804887628931096,2.2222465213251112
440,7.804887628931096,2.215492898257454
441,7.804887628931096,2.2052211176290455
442,7.804887628931096,2.190546536562028
443,7.804887628931096,2.1844954733013284
444,7.804887628931096,2.1768102224099093
445,7.804887628931096,2.161860460762606
446,7.804887628931096,2.154902137702767
447,7.804887628931096,2.1480088842720066
448,7.804887628931096,2.1421344022435997
449,7.804887628931096,2.139341186936909
450,7.804887628931096,2.130034880111378
451,7.804887628931096,2.1213656123275193
452,7.804887628931096,2.1035021643076455
453,7.804887628931096,2.098503265584348
454,7.804887628931096,2.095483227800072
455,7.804887628931096,2.0777325051657254
456,7.804887628931096,2.0686370536357503
457,7.804887628931096,2.0650389932232587
458,7.804887628931096,2.059345398471129
459,7.804887628931096,2.056355522285473
460,7.804887628931096,2.052138562296037
461,7.804887628931096,2.0516830183565564
462,7.804887628931096,2.046662981218302
463,7.804887628931096,2.0455216006554022
464,7.804887628931096,2.0348019367959433
465,7.804887628931096,2.027041119314344
466,7.804887628931096,2.0217244741486247
