k,final_time_seconds
1,1.3823648307692318
2,1.3933629846153854
3,1.3870437538461546
4,1.3731468307692318
5,1.366219907692309
6,1.3796260615384628
7,1.384935907692309
20,1.2807728307692319
100,1.1621583692307695
