step,best_cost,temperature
0,2.9038601147441954,99.49916247342207
1,2.9038601147441954,0.04619054344169814
2,2.7868895987257005,0.036704225297454034
3,2.659384388091653,0.015258905379689545
4,2.396662710064322,0.011081500935251062
5,2.3630880917953565,0.006925938084531914
6,2.3630880917953565,0.00474921468653617
7,2.3630880917953565,0.003462969042265957
8,2.3630880917953565,0.0026384526036312052
9,2.343720589637549,0.21184661074637295
10,2.343720589637549,0.18830809844122043
11,2.343720589637549,0.1892867061169378
12,2.343720589637549,0.1741351363841925
13,2.343720589637549,0.1446661133037907
14,2.343720589637549,0.12212074499670642
15,2.343720589637549,0.11480744530338922
16,2.343720589637549,0.09935259689716375
17,2.343720589637549,0.08682916031348765
18,2.269908655304506,0.09122629480389838
19,2.269908655304506,0.0810233539376729
20,2.269908655304506,0.07244441057956637
21,2.2183397979990835,0.06759915358885601
22,2.2183397979990835,0.06113033506360663
23,2.2183397979990835,0.07149664685898191
24,2.2183397979990835,0.06509173891119811
25,2.2183397979990835,0.06274662232811021
26,2.2183397979990835,0.05746027685724378
27,2.2183397979990835,0.05281702216170892
28,2.2183397979990835,0.04871632168331537
29,2.2183397979990835,0.04222967920589293
30,2.2183397979990835,0.04140246897475959
31,2.2183397979990835,0.038464229241066974
32,2.2183397979990835,0.03899601729485974
33,2.0796630605917077,0.04102836282299075
34,2.0796630605917077,0.03623657911614809
35,2.0796630605917077,0.03626161807531499
36,2.0796630605917077,0.03472175571523004
37,2.0796630605917077,0.038264472606303904
38,2.0796630605917077,0.035972770980155035
39,2.0796630605917077,0.03388204582917166
40,2.0796630605917077,0.031969349693653906
41,2.0796630605917077,0.030856997993734807
42,2.0796630605917077,0.03189170932830772
43,2.0796630605917077,0.03137814755451923
44,2.0796630605917077,0.029706726342453225
45,2.0796630605917077,0.031581993300240606
46,2.0796630605917077,0.029959203130663022
47,2.0796630605917077,0.030071685710727287
48,2.0796630605917077,0.029015976439091595
49,2.0796630605917077,0.027587819135366804
50,2.0796630605917077,0.026263603816869194
51,2.0796630605917077,0.02538644658932313
52,2.0796630605917077,0.025642904346419897
53,2.0796630605917077,0.025083620870756558
54,2.0796630605917077,0.023935245223895788
55,2.0796630605917077,0.022864922218797747
56,2.0796630605917077,0.021865656351152923
57,2.0796630605917077,0.02246204439491456
58,2.0796630605917077,0.02150874808107203
59,2.0796630605917077,0.021476695664278733
60,2.0796630605917077,0.020590781968127237
61,2.0796630605917077,0.019995943386933522
62,2.0796630605917077,0.020395535150949492
63,2.0796630605917077,0.019582240485619334
64,2.0796630605917077,0.019908193124202538
65,2.0796630605917077,0.01913520101022251
66,2.0796630605917077,0.018407011542603054
67,2.0796630605917077,0.01790275166983584
68,2.0796630605917077,0.017238578730212922
69,2.0796630605917077,0.016474925170954703
70,2.0796630605917077,0.016557727868323022
71,2.0796630605917077,0.015961753312812178
72,2.0796630605917077,0.015397887027305228
73,2.0796630605917077,0.014863830321898835
74,2.0796630605917077,0.014357489255190009
75,2.0796630605917077,0.014124750025931755
76,2.0796630605917077,0.014191163870735124
77,2.0796630605917077,0.014319011783500568
78,2.0796630605917077,0.01384695644997857
79,2.0796630605917077,0.013398244949827364
80,2.0796630605917077,0.012888238009258934
81,2.0796630605917077,0.012479533293884227
82,2.0796630605917077,0.012090279558404254
83,2.0796630605917077,0.011719243472842861
84,2.0796630605917077,0.01136528924978742
85,2.0796630605917077,0.01136990992929068
86,2.0796630605917077,0.010963460439933043
87,2.0796630605917077,0.01073854702650111
88,2.0796630605917077,0.010372241136572967
89,2.0796630605917077,0.010069231844942744
90,2.0796630605917077,0.010049172386304454
91,2.0796630605917077,0.009761264386225873
92,2.0796630605917077,0.009917928931110145
93,2.0796630605917077,0.009639156735159304
94,2.0796630605917077,0.009372188160872976
95,2.0796630605917077,0.00925268842452355
96,2.0796630605917077,0.009001114622020615
97,2.0796630605917077,0.008849850345096324
98,2.0796630605917077,0.008613553320575895
99,2.0796630605917077,0.008386768260471312
100,2.0796630605917077,0.008168982826610686
101,2.0796630605917077,0.008037150676709019
102,2.0796630605917077,0.00783203198530219
103,2.0796630605917077,0.0077323939034244565
104,2.0796630605917077,0.007538387025138416
105,2.0796630605917077,0.007597763562585975
106,2.0796630605917077,0.007410300600954681
107,2.0796630605917077,0.007389047063445732
108,2.0796630605917077,0.007209711325233596
109,2.0796630605917077,0.007089268076044837
